Trial,Treatment,Microcolony_id,Colony_source,Age_first_egg,Nectar_pots_fifteen,Nectar_pots_final,larvae_ejected_fifteen,total_larvae_ejected_,Total_brood_clumps,Total_Emerged_Drone,Age_first_drone
1,HW,1,3,,1,1,0,4,8,13,28
1,HW,2,3,3,3,2,1,3,11,17,27
1,HW,3,4,3,3,3,2,13,7,18,24
1,HW,5,4,,1,1,0,4,5,12,26
1,HW,6,1,3,3,2,4,12,8,17,24
1,HW,7,1,3,3,2,0,1,10,13,26
1,HW,8,1,,4,3,2,4,11,17,26
1,HW,9,4,3,3,3,0,1,7,4,28
1,CN,10,2,3,3,2,0,3,4,7,26
1,CN,11,1,1,3,3,0,4,4,2,26
1,CN,12,2,3,3,2,0,1,5,4,32
1,CN,13,2,3,2,1,2,6,9,7,31
1,CN,14,3,1,5,2,0,3,8,16,26
1,CN,16,1,3,2,1,0,0,5,7,26
1,CN,17,1,3,3,3,1,6,7,12,26
1,CN,18,2,4,3,2,0,1,8,7,29
